Unique.ID,AssayID,v.wt.leaf.a,unit,Date,v.wt.leaf.b,unit,Date,Unique.ID,,AssayID,s.wt.leaf.a,unit,Date,s.wt.leaf.b,unit,,date,Unique.ID,AssayID,v.wt.leaf.a.f,unit,v.wt.leaf.b.f,unit,Date,Unique.ID,AssayID,s.wt.leaf.a.f,unit,s.wt.leaf.b.f,unit,Date
W0257,V020,0.07088,g,7/6/16,0.04279,g,7/6/16,W0465,,S020,0.09426,g,7/6/16,0.03688,g,,7/6/16,W0257,V020,0.0712,g,0.0403,g,7/11/16,W0465,S020,0.0222,g,0.0188,g,7/11/16
W0281,V021,0.05337,g,7/6/16,0.0616,g,7/6/16,W0255,,S021,0.0506,g,7/6/16,0.07263,g,,7/6/16,W0281,V021,0.0478,g,0.0641,g,7/11/16,W0255,S021,0.0161,g,0.0184,g,7/11/16
W0818,V022,0.03512,g,7/6/16,0.15844,g,7/6/16,W0278,,S022,0.03105,g,7/6/16,0.07336,g,,7/6/16,W0818,V022,0.0194,g,0.0509,g,7/11/16,W0278,S022,0.0293,g,0.0443,g,7/11/16
W0845,V023,0.05576,g,7/6/16,0.08043,g,7/6/16,W0819,,S023,0.06373,g,7/6/16,0.06559,g,,7/6/16,W0845,V023,0.0519,g,0.0742,g,7/11/16,W0819,S023,0.0151,g,0.0191,g,7/11/16
W0843,V024,0.02059,g,7/6/16,0.10479,g,7/6/16,W0816,,S024,0.02435,g,7/6/16,0.08006,g,,7/6/16,W0843,V024,0.0164,g,0.0585,g,7/11/16,W0816,S024,0.0042,g,0.0242,g,7/11/16
W0817,V025,0.07887,g,7/6/16,0.10439,g,7/6/16,W0271,,S025,0.05839,g,7/6/16,0.11696,g,,7/6/16,W0817,V025,0.0654,g,0.0982,g,7/11/16,W0271,S025,0.0298,g,0.1087,g,7/11/16
W0361,V026,0.0554,g,7/8/16,0.0783,g,7/8/16,W0364,,S026,0.0527,g,7/8/16,0.062,g,,7/8/16,W0361,V026,0.0498,g,0.0523,g,7/11/16,W0364,S026,0.0343,g,0.0343,g,7/11/16
W0289,V027,0.0771,g,7/8/16,0.0512,g,7/8/16,W0287,,S027,0.0618,g,7/8/16,0.0586,g,,7/8/16,W0289,V027,0.0742,g,0.0195,g,7/11/16,W0287,S027,0.0533,g,0.0252,g,7/11/16
W0291,V028,0.0534,g,7/8/16,0.1091,g,7/8/16,W0290,,S028,0.0554,g,7/8/16,0.1148,g,,7/8/16,W0291,V028,0.0359,g,0.0466,g,7/11/16,W0290,S028,0.0324,g,0.1008,g,7/11/16
W0296,V029,0.0591,g,7/8/16,0.1111,g,7/8/16,W0295,,S029,0.0568,g,7/8/16,0.1126,g,,7/8/16,W0296,V029,0.0549,g,0.1024,g,7/11/16,W0295,S029,0.0332,g,0.0553,g,7/11/16
W0300,V030,0.0514,g,7/8/16,0.1066,g,7/8/16,W0304,,S030,0.0528,g,7/8/16,0.1263,g,,7/8/16,W0300,V030,0.0202,g,0.0579,g,7/11/16,W0304,S030,0.042,g,0.1142,g,7/11/16
W0301,V031,0.0957,g,7/8/16,0.1298,g,7/8/16,W0305,,S031,0.1174,g,7/8/16,0.79,g,,7/8/16,W0301,V031,0.0867,g,0.0614,g,7/11/16,W0305,S031,0.0607,g,0.0687,g,7/11/16
W0302,V032,0.0965,g,7/8/16,0.1,g,7/8/16,W0306,,S032,0.0928,g,7/8/16,0.1115,g,,7/8/16,W0302,V032,0.0757,g,0.0596,g,7/11/16,W0306,S032,0.0463,g,0.0867,g,7/11/16
W0303,V033,0.0924,g,7/8/16,0.1173,g,7/8/16,W0307,,S033,0.0984,g,7/8/16,0.1003,g,,7/8/16,W0303,V033,0.0827,g,0.0945,g,7/11/16,W0307,S033,0.0779,g,0.0708,g,7/11/16
W0320,V035,0.1371,g,7/8/16,0.1328,g,7/8/16,W0321,,S035,0.1591,g,7/8/16,0.1021,g,,7/8/16,W0320,V035,0.1193,g,0.1208,g,7/11/16,W0321,S035,0.0913,g,0.1265,g,7/11/16
W0615,V036,0.0261,g,7/12/16,0.0634,g,7/12/16,W0614,,S036,0.0418,g,7/12/16,0.0642,g,,7/12/16,W0615,V036,0.0075,g,0.0537,g,7/15/16,W0614,S036,0.0342,g,0.0542,g,7/15/16
W0620,V037,0.0366,g,7/12/16,0.0515,g,7/12/16,W0617,,S037,0.0327,g,7/12/16,0.0575,g,,7/12/16,W0620,V037,0.0313,g,0.0493,g,7/15/16,W0617,S037,0.0254,g,0.0521,g,7/15/16
W0622,V038,0.0441,g,7/12/16,0.1056,g,7/12/16,W0618,,S038,0.0357,g,7/12/16,0.0916,g,,7/12/16,W0622,V038,0.0075,g,0.0711,g,7/15/16,W0618,S038,0.0173,g,0.0667,g,7/15/16
W0634,V039,0.055,g,7/12/16,0.0825,g,7/12/16,W0619,,S039,0.0371,g,7/12/16,0.0832,g,,7/12/16,W0634,V039,0.0193,g,0.0604,g,7/15/16,W0619,S039,0.0303,g,0.0406,g,7/15/16
W0644,V040,0.041,g,7/12/16,0.0727,g,7/12/16,W0627,,S040,0.0502,g,7/12/16,0.076,g,,7/12/16,W0644,V040,0.0283,g,0.0318,g,7/15/16,W0627,S040,0.054,g,0.054,g,7/15/16
W0648,V041,0.0354,g,7/12/16,0.0686,g,7/12/16,W0623,,S041,0.0346,g,7/12/16,0.0616,g,,7/12/16,W0648,V041,0.0326,g,0.0519,g,7/15/16,W0623,S041,0.0268,g,0.0519,g,7/15/16
W0649,V042,0.0444,g,7/12/16,0.048,g,7/12/16,W0624,,S042,0.0418,g,7/12/16,0.0544,g,,7/12/16,W0649,V042,0.0075,g,0.0078,g,7/15/16,W0624,S042,0.0232,g,0.0271,g,7/15/16
W0652,V043,0.075,g,7/12/16,0.062,g,7/12/16,W0625,,S043,0.0653,g,7/12/16,0.074,g,,7/12/16,W0652,V043,0.0709,g,0.0602,g,7/15/16,W0625,S043,0.0501,g,0.0564,g,7/15/16
W0772,V044,0.0803,g,7/12/16,0.1061,g,7/12/16,W0626,,S044,0.068,g,7/12/16,0.0926,g,,7/12/16,W0772,V044,0.0747,g,0.0774,g,7/15/16,W0626,S044,0.0483,g,0.0699,g,7/15/16
W0778,V046,0.053,g,7/12/16,0.1161,g,7/12/16,W0771,,S046,0.0548,g,7/12/16,0.1226,g,,7/12/16,W0778,V046,0.0503,g,0.084,g,7/15/16,W0771,S046,0.0374,g,0.1027,g,7/15/16
W0780,V047,0.0556,g,7/12/16,0.0762,g,7/12/16,W0774,,S047,0.0617,g,7/12/16,0.0736,g,,7/12/16,W0780,V047,0.0541,g,0.0406,g,7/15/16,W0774,S047,0.0455,g,0.0567,g,7/15/16
W0783,V048,0.0629,g,7/12/16,0.01183,g,7/12/16,W0776,,S048,0.0502,g,7/12/16,0.0663,g,,7/12/16,W0783,V048,0.0563,g,0.0843,g,7/15/16,W0776,S048,0.0492,g,0.04,g,7/15/16
W0790,V049,0.0971,g,7/12/16,0.0795,g,7/12/16,W0779,,S049,0.1123,g,7/12/16,0.1057,g,,7/12/16,W0790,V049,0.0409,g,0.0429,g,7/15/16,W0779,S049,0.0818,g,0.051,g,7/15/16
W0792,V050,0.0921,g,7/12/16,0.0516,g,7/12/16,W0781,,S050,0.0659,g,7/12/16,0.068,g,,7/12/16,W0792,V050,0.0458,g,0.044,g,7/15/16,W0781,S050,0.0515,g,0.0541,g,7/15/16
W0272,V051,0.049,g,7/12/16,0.0875,g,7/12/16,W0834,,S051,0.0414,g,7/12/16,0.1119,g,,7/12/16,W0272,V051,0.0381,g,0.0552,g,7/15/16,W0834,S051,0.0288,g,0.0548,g,7/15/16
W0466,V052,0.0435,g,7/12/16,0.1432,g,7/12/16,W0446,,S052,0.052,g,7/12/16,0.1686,g,,7/12/16,W0466,V052,0.0412,g,0.0945,g,7/15/16,W0446,S052,0.0362,g,0.1163,g,7/15/16
W0467,V053,0.0838,g,7/12/16,0.1103,g,7/12/16,W0450,,S053,0.0918,g,7/12/16,0.115,g,,7/12/16,W0467,V053,0.0474,g,0.1045,g,7/15/16,W0450,S053,0.0357,g,0.0801,g,7/15/16
W0349,V054,0.0681,g,7/12/16,0.07,g,7/12/16,W0451,,S054,0.0585,g,7/12/16,0.0543,g,,7/12/16,W0349,V054,0.0294,g,0.0658,g,7/15/16,W0451,S054,0.0097,g,0.0483,g,7/15/16
W0285,V055,0.0344,g,7/12/16,0.0971,g,7/12/16,W0452,,S055,0.0409,g,7/12/16,0.1381,g,,7/14/16,W0285,V055,0.0268,g,0.075,g,7/15/16,W0452,S055,0.0112,g,0.1062,g,7/15/16
W0526,V056,0.0382,g,7/14/16,0.0571,g,7/14/16,W0524,,S056,0.0322,g,7/14/16,0.049,g,,7/14/16,W0526,V056,0.0392,g,0.009,g,7/15/16,W0524,S056,0.0145,g,0.0216,g,7/15/16
W0527,V057,0.0433,g,7/14/16,0.0868,g,7/14/16,W0525,,S057,0.0311,g,7/14/16,0.0792,g,,7/14/16,W0527,V057,0.0347,g,0.0638,g,7/15/16,W0525,S057,0.0254,g,0.0697,g,7/15/16
W0529,V058,0.0357,g,7/14/16,0.0365,g,7/14/16,W0528,,S058,0.0399,g,7/14/16,0.0298,g,,7/14/16,W0529,V058,0.0213,g,0.0173,g,7/15/16,W0528,S058,0.029,g,0.0229,g,7/15/16
W0530,V059,0.0484,g,7/14/16,0.0575,g,7/14/16,W0531,,S059,0.038,g,7/14/16,0.079,g,,7/14/16,W0530,V059,0.0031,g,0.0408,g,7/15/16,W0531,S059,0.0395,g,0.0655,g,7/15/16
W0545,V060,0.0505,g,7/14/16,0.0337,g,7/14/16,W0532,,S060,0.0505,g,7/14/16,0.0399,g,,7/14/16,W0545,V060,0.0251,g,0.0203,g,7/15/16,W0532,S060,0.0394,g,0.0281,g,7/15/16
W0546,V061,0.0806,g,7/14/16,0.0915,g,7/14/16,W0533,,S061,0.0709,g,7/14/16,0.0857,g,,7/14/16,W0546,V061,0.0803,g,0.0903,g,7/15/16,W0533,S061,0.0589,g,0.0488,g,7/15/16
W0549,V062,0.0773,g,7/14/16,0.0741,g,7/14/16,W0535,,S062,0.0952,g,7/14/16,0.1195,g,,7/14/16,W0549,V062,0.044,g,0.0248,g,7/15/16,W0535,S062,0.0456,g,0.0986,g,7/15/16
W0550,V063,0.0492,g,7/14/16,0.0872,g,7/14/16,W0536,,S063,0.0525,g,7/14/16,0.1033,g,,7/14/16,W0550,V063,0.0472,g,0.0486,g,7/15/16,W0536,S063,0.086,g,0.0995,g,7/15/16
W0044,V064,0.0316,g,7/14/16,0.0607,g,7/14/16,W0045,,S064,0.0498,g,7/14/16,0.0507,g,,7/14/16,W0044,V064,0.0157,g,0.0507,g,7/15/16,W0045,S064,0.0414,g,0.0309,g,7/15/16
W0048,V065,0.0336,g,7/14/16,0.0481,g,7/14/16,W0046,,S065,0.0336,g,7/14/16,0.0399,g,,7/14/16,W0048,V065,0.0231,g,0.0281,g,7/15/16,W0046,S065,0.0178,g,0.0351,g,7/15/16
W0050,V066,0.0581,g,7/14/16,0.0662,g,7/14/16,W0047,,S066,0.0448,g,7/14/16,0.054,g,,7/14/16,W0050,V066,0.0566,g,0.0596,g,7/15/16,W0047,S066,0.0385,g,0.0475,g,7/15/16
W0057,V067,0.0227,g,7/14/16,0.0311,g,7/14/16,W0049,,S067,0.0246,g,7/14/16,0.0437,g,,7/14/16,W0057,V067,0.0182,g,0.0217,g,7/15/16,W0049,S067,0.0313,g,0.0482,g,7/15/16
W0059,V068,0.068,g,7/14/16,0.064,g,7/14/16,W0053,,S068,0.0668,g,7/14/16,0.0599,g,,7/14/16,W0059,V068,0.0472,g,0.0501,g,7/15/16,W0053,S068,0.0617,g,0.0546,g,7/15/16
W0070,V069,0.0288,g,7/14/16,0.0508,g,7/14/16,W0054,,S069,0.0456,g,7/14/16,0.0495,g,,7/14/16,W0070,V069,0.0008,g,0.0254,g,7/15/16,W0054,S069,0.0291,g,0.0103,g,7/15/16
W0071,V070,0.0306,g,7/14/16,0.0676,g,7/14/16,W0058,,S070,0.0318,g,7/14/16,0.056,g,,7/14/16,W0071,V070,0.0203,g,0.058,g,7/15/16,W0058,S070,0.0197,g,0.0461,g,7/15/16
W0073,V071,0.0735,g,7/14/16,0.0452,g,7/14/16,W0060,,S071,0.0671,g,7/14/16,0.0478,g,,7/14/16,W0073,V071,0.0646,g,0.0016,g,7/15/16,W0060,S071,0.0176,g,0.0282,g,7/15/16
